city,city_ascii,state_id,state_name,county_name,lat,lng,zips
Fairfield,Fairfield,TX,Texas,Freestone,31.7183,-96.1697,75840
Wynnewood,Wynnewood,PA,Pennsylvania,Montgomery,40.0029,-75.2707,19096
Woodlynne,Woodlynne,NJ,New Jersey,Camden,39.9167,-75.0957,08107
Galena,Galena,IL,Illinois,Jo Daviess,42.4218,-90.4293,61036
Montana City,Montana City,MT,Montana,Jefferson,46.5257,-111.9401,59634 59635
Fairfield Harbour,Fairfield Harbour,NC,North Carolina,Craven,35.0706,-76.9571,28560
Greenfield,Greenfield,MN,Minnesota,Hennepin,45.0997,-93.6884,55373 55357
Montara,Montara,CA,California,San Mateo,37.5483,-122.4923,94037
River Bend,River Bend,NC,North Carolina,Craven,35.0717,-77.1504,28562
Winnebago,Winnebago,IL,Illinois,Winnebago,42.2671,-89.234,61088
McChord AFB,McChord AFB,WA,Washington,Pierce,47.133,-122.4923,98439 98438
New Hope,New Hope,AL,Alabama,Madison,34.537,-86.4128,35760
North Browning,North Browning,MT,Montana,Glacier,48.5706,-113.0267,59417
Chandler,Chandler,OK,Oklahoma,Lincoln,35.7224,-96.8925,74834
Jefferson,Jefferson,MD,Maryland,Frederick,39.3653,-77.5406,21755
Mountain View,Mountain View,AR,Arkansas,Stone,35.8635,-92.1041,72560
Eagle Crest,Eagle Crest,OR,Oregon,Deschutes,44.2614,-121.2995,97756
Rothsville,Rothsville,PA,Pennsylvania,Lancaster,40.1532,-76.2473,17543
Medina,Medina,WA,Washington,King,47.6273,-122.2427,98039
Seven Fields,Seven Fields,PA,Pennsylvania,Butler,40.6868,-80.0638,16046
Swift Trail Junction,Swift Trail Junction,AZ,Arizona,Graham,32.7305,-109.7148,85546
Turley,Turley,OK,Oklahoma,Tulsa,36.2472,-95.9655,74130 74126
Pleasureville,Pleasureville,PA,Pennsylvania,York,40.0012,-76.7059,17406
Homestead,Homestead,PA,Pennsylvania,Allegheny,40.4073,-79.9097,15120
Williston,Williston,SC,South Carolina,Barnwell,33.4018,-81.422,29853
Emajagua,Emajagua,PR,Puerto Rico,Maunabo,18.0016,-65.8829,00707
San Andreas,San Andreas,CA,California,Calaveras,38.1911,-120.6763,95249
Woodville,Woodville,TX,Texas,Tyler,30.774,-94.4234,75979 75990
Mamou,Mamou,LA,Louisiana,Evangeline,30.6349,-92.4179,70554
Polk City,Polk City,FL,Florida,Polk,28.1805,-81.8296,33868
Iona,Iona,ID,Idaho,Bonneville,43.5271,-111.931,83427 83401
Grissom AFB,Grissom AFB,IN,Indiana,Miami,40.6585,-86.1481,46971 46970 46914
Womelsdorf,Womelsdorf,PA,Pennsylvania,Berks,40.3655,-76.1864,19567
Capitanejo,Capitanejo,PR,Puerto Rico,Juana Díaz,18.0132,-66.5358,00715 00795
Vienna,Vienna,GA,Georgia,Dooly,32.0926,-83.7868,31092
Bicknell,Bicknell,IN,Indiana,Knox,38.7743,-87.3078,47512
West Simsbury,West Simsbury,CT,Connecticut,Capitol,41.8757,-72.845,06092 06070
White River Junction,White River Junction,VT,Vermont,Windsor,43.6499,-72.329,05001 05009
Atkins,Atkins,AR,Arkansas,Pope,35.2414,-92.9465,72823
Lake Helen,Lake Helen,FL,Florida,Volusia,28.983,-81.2309,32744
Olga,Olga,FL,Florida,Lee,26.7114,-81.695,33920 33905
Poteet,Poteet,TX,Texas,Atascosa,29.0373,-98.5728,78065
Hawthorne,Hawthorne,NV,Nevada,Mineral,38.5253,-118.626,89415
Westlake,Westlake,FL,Florida,Palm Beach,26.7549,-80.2984,33470
Cannon AFB,Cannon AFB,NM,New Mexico,Curry,34.3885,-103.3185,88101 88103
Gramercy,Gramercy,LA,Louisiana,St. James,30.061,-90.6929,70052
Kincheloe,Kincheloe,MI,Michigan,Chippewa,46.2688,-84.4568,49788 49785
Springfield,Springfield,GA,Georgia,Effingham,32.3636,-81.303,31329 31326
Lockport,Lockport,LA,Louisiana,Lafourche,29.6443,-90.5324,70374
Wimberley,Wimberley,TX,Texas,Hays,29.9848,-98.0906,78676
Rogers City,Rogers City,MI,Michigan,Presque Isle,45.415,-83.8186,49779
Lake Orion,Lake Orion,MI,Michigan,Oakland,42.7827,-83.2453,48362 48361
Springfield,Springfield,KY,Kentucky,Washington,37.6922,-85.2193,40069 40061
El Paso,El Paso,IL,Illinois,Woodford,40.7405,-89.0183,61738
Freemansburg,Freemansburg,PA,Pennsylvania,Northampton,40.628,-75.3401,18017
Bayshore,Bayshore,NC,North Carolina,New Hanover,34.2893,-77.8025,28411
Indian Hills,Indian Hills,KY,Kentucky,Jefferson,38.2809,-85.6617,40207
Portageville,Portageville,MO,Missouri,New Madrid,36.4295,-89.6993,63873
Hillsville,Hillsville,VA,Virginia,Carroll,36.7613,-80.7371,24343
Rineyville,Rineyville,KY,Kentucky,Hardin,37.7501,-85.9703,40162
Stirling,Stirling,NJ,New Jersey,Morris,40.6782,-74.4936,07980
Arcola,Arcola,IL,Illinois,Douglas,39.6833,-88.3013,61910
Hurlburt Field,Hurlburt Field,FL,Florida,Okaloosa,30.4289,-86.6989,32544 32547
Aspinwall,Aspinwall,PA,Pennsylvania,Allegheny,40.4929,-79.9037,15215
Fairfax,Fairfax,IA,Iowa,Linn,41.9283,-91.7791,52228
Brighton,Brighton,TN,Tennessee,Tipton,35.4813,-89.7353,38011
Frisco,Frisco,CO,Colorado,Summit,39.5791,-106.0915,80443
Mountain Iron,Mountain Iron,MN,Minnesota,St. Louis,47.5474,-92.6255,55768 55710
Clarksville,Clarksville,TX,Texas,Red River,33.611,-95.0563,75426
Eutaw,Eutaw,AL,Alabama,Greene,32.8436,-87.8986,35462
Dodge Center,Dodge Center,MN,Minnesota,Dodge,44.0284,-92.8518,55927
Pearisburg,Pearisburg,VA,Virginia,Giles,37.3289,-80.7275,24134
Tazewell,Tazewell,TN,Tennessee,Claiborne,36.4625,-83.5669,37879
Fayetteville,Fayetteville,WV,West Virginia,Fayette,38.0622,-81.1083,25840
Patillas,Patillas,PR,Puerto Rico,Patillas,18.0069,-66.0134,00723
Westport Village,Westport Village,CT,Connecticut,Western Connecticut,41.1428,-73.3609,06880 06889
Gambrills,Gambrills,MD,Maryland,Anne Arundel,39.0927,-76.6511,21144 21108
Lincoln,Lincoln,AR,Arkansas,Washington,35.949,-94.4174,72744
Bayfield,Bayfield,CO,Colorado,La Plata,37.234,-107.5952,81122
Brent,Brent,AL,Alabama,Bibb,32.9421,-87.1753,35042 35034
Onawa,Onawa,IA,Iowa,Monona,42.0265,-96.0909,51040
Wilburton,Wilburton,OK,Oklahoma,Latimer,34.9182,-95.3049,74578
Providence,Providence,KY,Kentucky,Webster,37.3993,-87.7509,42450
Park View,Park View,IA,Iowa,Scott,41.6953,-90.5394,52748
Shady Shores,Shady Shores,TX,Texas,Denton,33.1632,-97.0401,76208
Ruleville,Ruleville,MS,Mississippi,Sunflower,33.7245,-90.55,38771
Brazoria,Brazoria,TX,Texas,Brazoria,29.0454,-95.567,77422
Midway South,Midway South,TX,Texas,Hidalgo,26.1569,-98.0213,78537 78596
Norco,Norco,LA,Louisiana,St. Charles,29.9986,-90.4036,70079 70047 70078
Arcola,Arcola,VA,Virginia,Loudoun,38.9447,-77.5307,20166 20105
Piedmont,Piedmont,MO,Missouri,Wayne,37.1491,-90.697,63957
Alderton,Alderton,WA,Washington,Pierce,47.1728,-122.2209,98390 98391 98374 98372
Emmitsburg,Emmitsburg,MD,Maryland,Frederick,39.7051,-77.3217,21727
Newton,Newton,IL,Illinois,Jasper,38.9872,-88.1643,62448
Lindsay,Lindsay,OK,Oklahoma,Garvin,34.8393,-97.6105,73052
South Padre Island,South Padre Island,TX,Texas,Cameron,26.1218,-97.1703,78597
Savanna,Savanna,IL,Illinois,Carroll,42.0904,-90.1395,61074
Bellows Falls,Bellows Falls,VT,Vermont,Windham,43.1344,-72.455,05101
Weatogue,Weatogue,CT,Connecticut,Capitol,41.8459,-72.8294,06070 06089
Cottondale,Cottondale,AL,Alabama,Tuscaloosa,33.1923,-87.4543,35404 35453
Arcanum,Arcanum,OH,Ohio,Darke,39.9923,-84.5543,45304
York,York,AL,Alabama,Sumter,32.4998,-88.2938,36925
Taft,Taft,TX,Texas,San Patricio,27.98,-97.3928,78390
Gray Summit,Gray Summit,MO,Missouri,Franklin,38.4949,-90.8163,63039 63069
Loogootee,Loogootee,IN,Indiana,Martin,38.6756,-86.914,47553
Quarryville,Quarryville,PA,Pennsylvania,Lancaster,39.8957,-76.1617,17566
Aromas,Aromas,CA,California,San Benito,36.8771,-121.6404,95004
Vamo,Vamo,FL,Florida,Sarasota,27.2219,-82.4988,34231 34229
Manistique,Manistique,MI,Michigan,Schoolcraft,45.9591,-86.2507,49854
Eatonville,Eatonville,WA,Washington,Pierce,46.8682,-122.2697,98328
Harriman,Harriman,NY,New York,Orange,41.3088,-74.1445,10926
Mondovi,Mondovi,WI,Wisconsin,Buffalo,44.5712,-91.6668,54755
Sabina,Sabina,OH,Ohio,Clinton,39.4903,-83.6345,45169
Agua Fria,Agua Fria,NM,New Mexico,Santa Fe,35.6615,-106.0149,87507
Seagraves,Seagraves,TX,Texas,Gaines,32.942,-102.5657,79359
East Douglas,East Douglas,MA,Massachusetts,Worcester,42.0779,-71.7121,01516
St. Helen,St. Helen,MI,Michigan,Roscommon,44.3592,-84.4117,48656
Whetstone,Whetstone,AZ,Arizona,Cochise,31.7258,-110.2746,85616
Carthage,Carthage,NC,North Carolina,Moore,35.3224,-79.4114,28327
Madison,Madison,WV,West Virginia,Boone,38.0631,-81.8046,25130 25053
Emerald Lakes,Emerald Lakes,PA,Pennsylvania,Monroe,41.0845,-75.4154,18334
St. Hedwig,St. Hedwig,TX,Texas,Bexar,29.4197,-98.2047,78152 78101
Graymoor-Devondale,Graymoor-Devondale,KY,Kentucky,Jefferson,38.2733,-85.6177,40222
Littleton Common,Littleton Common,MA,Massachusetts,Middlesex,42.5352,-71.4727,01460
Osage City,Osage City,KS,Kansas,Osage,38.6337,-95.8218,66523
Filer,Filer,ID,Idaho,Twin Falls,42.5679,-114.6115,83328
Marietta,Marietta,OK,Oklahoma,Love,33.936,-97.1248,73448
Natalbany,Natalbany,LA,Louisiana,Tangipahoa,30.5486,-90.4848,70466 70451 70401
North Zanesville,North Zanesville,OH,Ohio,Muskingum,39.9905,-81.9982,43701
La Paloma,La Paloma,TX,Texas,Cameron,26.0518,-97.6552,78586
Longtown,Longtown,OK,Oklahoma,Pittsburg,35.2408,-95.5176,74425 74432 74462
Gosnell,Gosnell,AR,Arkansas,Mississippi,35.9644,-89.9721,72315 72319
Norway,Norway,MI,Michigan,Dickinson,45.7997,-87.914,49870
Lima,Lima,PA,Pennsylvania,Delaware,39.9194,-75.4416,19063
